uniprot	PDB
P15104	2UU7
P08235	1GLU
P27448	1ZMV
P23919	2XX3
P32238	7EZH
P62508	1KV6
P49888	1G3M
P09936	2ETL
P08631	2HK5
P47989	1WYG
Q13873	2HLQ
Q15393	5IFE
Q8IXJ6	1J8F
Q16853	1PU4
P00749	1EJN
P0C1S8	5VDK
P04818	1HVY
P49760	6FYK
P41240	1JEG
O95372	5SYN
Q8TF76	2VUW
Q15822	5FJV
P08833	1ZT3
Q8NI60	4PED
Q99640	3P1A
P49662	6KMZ
Q58F21	4KCX
P31350	3OLJ
P15144	4FYQ
P05981	1O5E
O14976	4C57
P28907	1ZVM
Q00534	1G3N
P22897	7JUB
P42224	1YVL
P29401	3MOS
Q6PL18	3DAI
Q02750	1S9J
Q9H244	4NTJ
P06734	1T8C
P30989	6PWC
P17931	1KJL
P61088	1J7D
O75460	4YZ9
P43405	1XBA
O15151	2MWY
Q9Y2Q3	1YZX
P09668	6CZK
P51813	2EKX
P23921	2WGH
P19784	3E3B
Q13547	3MAX
O15270	6M4N
P09884	4Y97
P06493	4Y72
P05230	1DJS
Q15465	1VHH
P37173	1KTZ
Q9UK32	6G76
P01106	1NKP
O75376	2EQR
P22079	2IKC
O14983	4NAB
P57771	2IHD
O14684	3DWW
P09172	4ZEL
P23526	1LI4
P07101	2TOH
Q9Y237	1EQ3
O95838	7D68
P36507	1S9I
O75884	2QS9
Q00987	1T4E
P49336	3RGF
P15085	2V77
P15056	2FB8
O00482	1YOK
P20142	1HTR
P21802	1DJS
Q13233	6WHB
Q96HE7	3AHQ
Q04609	1Z8L
P33316	1Q5H
P11473	1KB2
P07339	1LYA
P02753	1JYD
Q9Y6K1	4QBQ
Q9P1W9	2IWI
P16471	2LFG
O14786	1KEX
P04070	3F6U
P29317	1MQB
P11474	1XB7
P19235	1CN4
P11217	1FS4
P00813	3IAR
P62993	1CJ1
P00480	1FB5
Q9BWU1	5IDN
P27487	1J2E
Q05655	1YRK
P06865	2GK1
P42677	4D5L
P27707	1P5Z
P41145	4DJH
Q14397	4LY9
P25090	6OMM
Q9NXS2	3PB4
P45983	2B1P
P25774	1MS6
P49137	1KWP
P51649	2W8N
P29597	3NZ0
P29323	1NUK
O15530	1H1W
P08575	5FN7
O43525	5J03
P25025	6LFM
Q9H6P5	2A8I
P08069	1IGR
P09471	6K41
Q9HC16	3E1U
P42684	2ECD
P52655	1NVP
P53350	1Q4K
Q9P289	3GGF
P14416	7JVR
P18031	1G7G
P35398	1N83
P16278	3THC
P00441	1HL4
P04406	1U8F
P42263	1FTJ
P51948	1G25
P07998	1Z7X
Q15125	6OHT
P26010	3V4P
Q13093	3D59
P21673	2B4D
Q9UHL4	3JYH
Q14451	1MW4
Q12852	5CEN
Q9Y2J8	4N20
Q8NEB9	3IHY
P56703	6AHY
P00374	1DHF
Q6ZN16	3VW6
P35414	2LOT
Q13705	1NYS
P07288	2ZCH
Q9NWZ3	2NRU
Q9NPI8	2IQC
Q07817	1PQ0
P06400	1GUX
Q9P0U3	2IYC
P48736	1E7V
P01375	2AZ5
P02768	1e78
Q06278	4UHW
P84077	1HUR
Q9Y210	5YX9
Q9UHI8	2JIH
P13716	1e51
P20618	1IRU
Q15046	4DPG
P34896	6M5W
Q01970	3OHM
O14939	6OHM
P23458	3EYG
Q9Y478	4CFE
Q96P20	2NAQ
Q15746	2CQV
P07947	1YOJ
O15399	3OEK
Q9NP58	3NH6
O00571	2I4I
P00533	1IVO
P06729	1CDB
Q9H227	2E9L
P14488	6DJA
P48729	5FQD
P55212	2WDP
Q12794	2PE4
P11940	1CVJ
P53667	3S95
Q9NRW4	1WRM
P22061	1I1N
P25103	2KS9
P63252	2XKY
P28838	1LAM
O14727	1CWW
P45974	2G43
Q09428	6C3O
Q9UBB5	6C1A
Q2M2I8	4WSQ
Q9BZP6	3FXY
Q92630	5LXC
P00742	1EZQ
P08709	1CVW
Q99707	4CCZ
Q9H4B4	4B6L
P04180	4XX1
Q9H2X6	6P5S
P13500	1DOK
Q8TDD5	6AYE
Q00688	1PBK
Q13188	3WWS
P28566	7E+33
P12081	1X59
O60741	3U0Z
P07550	2R4R
Q12866	7AAZ
P03950	1GV7
O00506	2XIK
P11216	5IKO
P09038	1FGA
P12821	1O86
Q13563	2KLD
P48061	1QG7
Q92876	1L2E
P10276	1DKF
Q9NS75	6RZ6
P08237	4OMT
Q8NB78	4GU0
Q9GZU7	3PGL
P36888	3QS7
O00763	2DN8
P07686	1NOU
P01116	4EPR
Q9H422	7O7I
Q9NPI1	5MQ1
P48443	2GL8
P27824	1JHN
P49773	1KPA
P61244	1NKP
P42785	3N2Z
Q15904	6WLW
Q9HBH1	3G5K
P12268	1NF7
Q5S007	2ZEJ
P48449	1W6J
Q13946	1ZKL
Q9Y263	2K89
Q9BT73	2Z5E
P28702	1DKF
O14519	2KW6
P02763	3KQ0
O94907	3S2K
P19021	1YJL
P48163	3WJA
O00754	1O7D
Q15208	6BXI
O14980	1W9C
Q8NEV4	6JLE
P24941	1CKP
Q13418	2KBX
Q99720	5HK1
Q16769	2AFM
O60930	2QK9
P01008	1DZG
Q6Y7W6	5NVL
P53778	1CM8
P09238	1USN
P29322	1UCV
Q9GZT9	2G19
Q9NNX6	1SL4
P28161	1XW5
Q13882	1RJA
P29375	5E6H
P54132	2KV2
P17948	1FLT
Q96CA5	1OXN
Q9C0B1	3LFM
Q16539	1DI9
P45452	1EUB
Q12791	3NAF
P05093	3RUK
P52292	1EJL
P78362	2X7G
Q8IU85	2JC6
P22307	1QND
P16233	1LPA
P50135	1JQD
P16444	1ITQ
O76074	1UDT
P28062	6AVO
P0DJD9	1PSN
P51580	2BZG
Q6PHR2	4WZX
P22001	4BGC
P14902	2D0T
P07148	2F73
P31939	1P4R
P55211	4RHW
Q13507	5ZBG
Q9UM07	3APM
O15554	6CNM
Q9Y5K2	2BDG
P00736	1MD8
P05121	1DVN
Q15788	2PRG
P18065	2H7T
P19367	1HKB
P00519	1JU5
Q9UBC3	3FLG
Q06187	1K2P
O75604	2HD5
P05067	1MWP
P14920	2DU8
Q7KZI7	1ZMU
Q8N4C8	5J95
Q14012	4FG7
P23443	3A60
Q13393	6OHR
Q09013	1WT6
Q9UGP5	1NZP
P05362	1D3E
P30291	1X8B
P26572	1FO8
P12314	3RJD
P14635	2JGZ
P54619	2UV4
Q06124	3B7O
P09237	1MMP
O60658	3ECM
O15269	6M4N
P63000	1FOE
P35354	4PH9
Q16790	6Y74
P63096	1Y3A
Q13126	1CB0
P49356	1FT2
P36896	5E8U
P16581	1ESL
P07900	1OSF
P08311	1CGH
P29074	2CS5
Q15759	3GC8
O15296	4NRE
P37231	1FM6
Q02763	1FVR
P00750	1PK2
P07195	1I0Z
P49759	6FYO
P78356	3WZZ
Q9ULX7	4LU3
O94804	2J7T
P0DPD8	2PXX
P51812	4NUS
Q96SD1	6WNL
P78368	2CHL
P06756	1JV2
Q92993	2OU2
Q14432	7EG0
Q9Y572	7DA4
P11142	1CKR
P30520	2V40
P68400	1JWH
P63279	1KPS
P61981	2B05
Q9HAZ1	6FYV
Q01196	1CO1
P04233	1ICF
P08684	1W0E
P63165	1TGZ
Q02790	1N1A
P33176	1MKJ
Q06210	2V4M
Q13237	5BV6
P10599	1ERT
P33981	2X9E
P54819	2C9Y
Q93096	1RXD
P00492	1D6N
P29376	7NX0
P54762	2EAO
P49862	2QXG
Q96C86	1XMM
P06746	1MQ2
O95551	5INO
Q13936	3OXQ
O43613	4ZJ8
Q9NYY3	4XB0
Q8NET8	6MHO
Q9Y243	2X18
P54753	3P1I
O75475	2M16
Q9H9B1	2IGQ
Q93009	1NB8
P07237	1MEK
P07327	1HSO
Q9H2S1	1QX7
P04792	2N3J
Q16602	3N7P
P56696	4GOW
P35030	1H4W
O43293	1YRP
Q07820	2KBW
P14174	1CGQ
O95819	4OBO
O00206	3FXI
P43116	7CX2
P79483	1FYT
P07949	5FM2
P11021	3IUC
P38398	1JM7
Q96P09	1XB0
P54764	3GXU
P07858	1CSB
Q9GZT4	5X2L
O60502	5M7R
Q01064	1TAZ
Q6V1X1	6EOO
P51512	1RM8
P10145	1IKL
P48546	2QKH
P05181	3E4E
O94760	2JAI
Q13163	1WI0
P05164	1CXP
P24864	1W98
O76083	2HD1
P45877	2ESL
B2RXH2	2W2I
O43447	1MZW
Q13477	4HCR
P09601	1N3U
P56704	7DRT
Q16647	2IAG
Q9UEW8	5D9H
P60033	1G8Q
Q00610	1UTC
P15328	4KM7
P51452	1VHR
Q8N5Z0	2QLR
P08238	1UYM
P28472	6A96
P35557	1V4S
Q9NRH2	5YKS
P17707	1I72
P13501	1HRJ
Q9BQF6	3EAY
P00915	1CZM
P00326	1HDY
P09429	1CKT
Q00613	2LDU
P16333	2CUB
Q99500	7EW2
P51787	3BJ4
P49721	1IRU
P20701	1CQP
Q9UGM1	4D01
P06737	1EM6
P47929	2GAL
Q13370	1SO2
P19438	1EXT
P10144	1IAU
P49763	1RV6
P19623	2O05
P11509	2PG5
